statefips,year,ds_pm_pred,ds_pm_stdd
27,2012,9.883002895560877,4.38493168044248
27,2013,9.189264631470935,4.033063042778718
27,2014,7.318106526540455,3.12625659695244
28,2011,9.671156144840735,3.271231970149006
28,2012,9.350136332184222,3.884553120127642
28,2013,9.135315022609993,3.898967755414171
28,2014,9.736387042049199,5.792759479825089
29,2011,10.774184335641023,3.329537862423664
29,2012,10.201070761104508,4.138515771343054
29,2013,10.016234007493436,4.151008795287593
29,2014,10.090700268524619,4.683947461318333
30,2011,6.107897531213668,2.942603194520548
30,2012,6.155631822535438,2.89158390639808
30,2013,5.142914664004448,2.569472170024769
30,2014,6.293447966132538,3.233352156700197
31,2011,8.925192303872695,3.292152764980946
31,2012,9.186989350938822,3.95299206258474
31,2013,8.384523288546709,3.671282090822948
31,2014,8.270180557317952,4.124945134256875
32,2011,7.895413536069071,3.102080509377679
32,2012,7.170197731325713,3.093759856070187
32,2013,7.369920351139558,3.235562345636179
32,2014,7.354928415146258,3.036499871508046
33,2011,8.237888843148363,2.854513637176689
33,2012,7.814834294063166,3.046416183476892
33,2013,7.547213580496866,3.05393271112143
33,2014,7.164422242767588,3.120313525516601
34,2011,10.064819616910016,2.461280639959806
34,2012,9.271080222233129,2.830385885864882
34,2013,9.322217845268367,2.94789743141115
34,2014,9.445353205588822,3.908874701405408
35,2011,7.082001216306586,2.623996444758009
35,2012,6.983577346770043,2.724846303536034
35,2013,6.281155015181047,2.773592867537815
35,2014,6.177073354434897,3.250099562467401
36,2011,9.896826430262764,2.65942759620262
36,2012,9.067113055638249,3.109548371030558
36,2013,8.958054203235012,3.156548273201164
36,2014,9.104991517308461,4.122619313599405
37,2011,9.869310797420844,2.923886073926188
37,2012,9.119565474764307,3.489100630592086
37,2013,8.51418040167595,3.295492768415375
37,2014,9.877456636195996,4.708676098135882
38,2011,7.254055359652523,3.185866913959238
38,2012,7.671576092229775,3.574596390643742
38,2013,6.557418720213832,3.114170502238557
38,2014,5.611284224924825,2.958792113691948
39,2011,11.594088866671317,3.168392051641883
39,2012,11.273621510059022,4.15589643621619
39,2013,10.67417426954589,4.171392425773512
39,2014,11.393318025741893,5.524727127807382
4,2011,7.92936634641735,3.072249148106788
4,2012,7.608312287562039,3.260304027780762
4,2013,6.686456663458949,2.954465725327205
4,2014,7.573241973428607,3.306560936174797
40,2011,10.038760245441211,3.291542863692082
40,2012,9.377211972489526,3.804512411685421
40,2013,9.172125510097174,3.803581236386495
40,2014,9.355247949396265,4.372203218470887
41,2011,8.461731813219426,3.098238319037626
41,2012,7.508069092790708,3.339114588483063
41,2013,8.532596018011468,3.899343493249831
41,2014,7.621609291273526,4.160174473420692
42,2011,10.711203866038724,2.670641426923748
42,2012,10.493728047378085,3.335504303953892
42,2013,9.885931721965074,3.22445424695858
42,2014,10.810288979590446,4.427185828794802
44,2011,8.663715005752288,2.285345282180413
44,2012,7.642586924925742,2.36173878761082
44,2013,7.731762917978742,2.439051262092878
44,2014,6.544729674757006,2.545987761268686
45,2011,10.437552770267604,2.852230326162261
45,2012,9.376016783727105,3.320772778167979
45,2013,8.757849306102571,3.137834419325433
45,2014,9.829808071827275,4.772623614365455
46,2011,7.475314156065655,3.093047948401826
46,2012,7.844505034214542,3.518531665928223
46,2013,7.031216845242503,3.188146606071825
46,2014,6.181640226212514,3.072508196137233
47,2011,10.351708867682397,2.848811763532544
47,2012,9.79569507431986,3.466228835028892
47,2013,9.466286255616255,3.403113049917186
47,2014,10.035333080700213,4.739368028440442
48,2011,9.797758917583472,3.250497205166579
48,2012,9.518427960788658,3.851738782119686
48,2013,9.281819001037696,3.820366918277529
48,2014,9.764691022041915,5.25918160713038
49,2011,8.043422210329885,2.236530939688752
49,2012,7.680947192530018,2.479886904761905
